run/total_env_steps,alpha_ext,alpha_icm,alpha_rnd
331350016,0.1663435,0.4093841,0.42427242
335544320,0.18775448,0.41137165,0.40087387
339738624,0.18817113,0.4307883,0.38104054
343932928,0.1843814,0.45420545,0.36141315
348127232,0.18184495,0.43653485,0.3816202
352321536,0.19059426,0.4551482,0.35425755
356515840,0.17691925,0.4533272,0.36975354
360710144,0.1764366,0.44814605,0.37541738
364904448,0.14692493,0.473715,0.37936005
369098752,0.1307652,0.47433934,0.3948955
373293056,0.11949596,0.45982254,0.42068148
377487360,0.12593152,0.4181196,0.45594892
381681664,0.14402297,0.41734457,0.43863246
385875968,0.19423512,0.36277384,0.44299108
390070272,0.22495389,0.38998556,0.38506055
394264576,0.22867349,0.39493716,0.37638932
398458880,0.21823215,0.40239644,0.3793714
402653184,0.18826102,0.42846662,0.38327235
406847488,0.16510525,0.43380362,0.4010911
411041792,0.15773946,0.40476948,0.43749106
415236096,0.1764376,0.38501167,0.43855077
419430400,0.21153507,0.3575129,0.43095207
423624704,0.2111823,0.33770716,0.4511105
427819008,0.1938277,0.33743995,0.46873236
432013312,0.17091373,0.30914396,0.5199423
436207616,0.16539764,0.3306334,0.50396895
440401920,0.16442458,0.36741254,0.46816286
444596224,0.19365945,0.36933318,0.43700737
448790528,0.22956036,0.3818071,0.38863254
452984832,0.26086444,0.38192904,0.35720652
457179136,0.2761971,0.38379,0.34001294
461373440,0.26904333,0.37355298,0.3574037
465567744,0.2797283,0.3805798,0.33969194
469762048,0.25848627,0.39515498,0.34635872
473956352,0.25305653,0.38298625,0.36395723
478150656,0.20585372,0.42579156,0.3683547
482344960,0.19396305,0.40530765,0.4007293
486539264,0.197629,0.4311367,0.3712343
490733568,0.2071841,0.43050697,0.36230892
494927872,0.22293504,0.43328315,0.3437818
499122176,0.2474766,0.4153991,0.3371243
503316480,0.2515095,0.40009272,0.3483978
507510784,0.23669985,0.40359873,0.3597014
511705088,0.2538163,0.37990665,0.36627704
515899392,0.25035217,0.40346593,0.3461819
520093696,0.23949248,0.41838995,0.3421176
524288000,0.2213029,0.44870645,0.32999068
528482304,0.2102127,0.46329463,0.32649273
532676608,0.19437054,0.46249366,0.34313577
536870912,0.1939768,0.45700744,0.34901574
541065216,0.18934102,0.440697,0.36996198
545259520,0.18322803,0.43959713,0.37717485
549453824,0.17088214,0.42631906,0.4027988
553648128,0.16203126,0.4146456,0.42332315
557842432,0.17518932,0.4011272,0.4236835
562036736,0.19046973,0.39103395,0.41849634
566231040,0.20503162,0.37248623,0.4224822
570425344,0.17546591,0.39022917,0.43430495
574619648,0.14865005,0.39393073,0.45741916
578813952,0.14753419,0.39855936,0.45390645
583008256,0.16823724,0.42729944,0.40446332
587202560,0.22544223,0.39280716,0.38175064
591396864,0.2429705,0.40605646,0.35097307
595591168,0.25264794,0.4125315,0.33482057
599785472,0.21865174,0.45930094,0.32204735
603979776,0.15440512,0.52057123,0.32502365
608174080,0.13722594,0.5269728,0.3358013
612368384,0.121355884,0.52793384,0.35071027
616562688,0.1420448,0.4962073,0.36174795
620756992,0.16403736,0.44201067,0.39395195
624951296,0.17482214,0.43806833,0.38710958
629145600,0.17885026,0.4230966,0.3980531
633339904,0.1715748,0.39810088,0.43032432
637534208,0.17280766,0.3933647,0.43382764
641728512,0.16430165,0.38335416,0.45234418
645922816,0.16177261,0.38556898,0.4526584
650117120,0.17026412,0.3756147,0.4541212
654311424,0.18329482,0.37213388,0.44457132
658505728,0.174988,0.35379687,0.47121513
662700032,0.17441246,0.35856587,0.46702167
666894336,0.1821484,0.33681726,0.48103434
671088640,0.21466915,0.33554423,0.4497866
675282944,0.22627339,0.34236494,0.43136168
679477248,0.20715103,0.3668054,0.42604357
683671552,0.18356802,0.34879988,0.46763209
687865856,0.20497398,0.35643458,0.43859145
692060160,0.2486776,0.35454595,0.39677644
696254464,0.24163464,0.38273922,0.37562615
700448768,0.21196258,0.39992929,0.38810813
704643072,0.18083018,0.39581203,0.42335778
708837376,0.17507161,0.377337,0.44759136
713031680,0.18271948,0.35529375,0.46198678
717225984,0.25869027,0.3104824,0.43082732
721420288,0.2738485,0.31831294,0.40783858
725614592,0.26603836,0.2997025,0.43425918
729808896,0.26568392,0.2976135,0.4367026
734003200,0.2621128,0.29027098,0.4476162
738197504,0.2537144,0.28942809,0.45685753
742391808,0.2671663,0.26538312,0.4674506
746586112,0.27631173,0.25794888,0.46573943
750780416,0.28204602,0.27793437,0.44001958
754974720,0.2973135,0.25250158,0.4501849
759169024,0.2935786,0.25485396,0.45156747
763363328,0.28342885,0.2668659,0.44970524
767557632,0.2759458,0.25636023,0.46769395
771751936,0.24587294,0.24812381,0.50600326
775946240,0.25645542,0.23599827,0.5075463
780140544,0.27328828,0.23107067,0.49564105
784334848,0.26980388,0.28305155,0.44714457
788529152,0.29854983,0.29695427,0.40449587
792723456,0.2827543,0.30944052,0.4078052
796917760,0.27813396,0.30798382,0.4138822
