run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed2_alpha18,curriculum,0.25,0.375,0.375,2,1.0,10.2265625,histories/curriculum_icm+rnd_seed2_alpha18.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha18.csv
curriculum_icm+rnd_seed2_alpha19,curriculum,0.125,0.5,0.375,2,0.99609375,10.0546875,histories/curriculum_icm+rnd_seed2_alpha19.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha19.csv
curriculum_icm+rnd_seed2_alpha20,curriculum,0.0,0.625,0.375,2,0.99609375,9.97265625,histories/curriculum_icm+rnd_seed2_alpha20.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha20.csv
curriculum_icm+rnd_seed2_alpha21,curriculum,0.75,0.0,0.25,2,0.9453125,7.40234375,histories/curriculum_icm+rnd_seed2_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha21.csv
curriculum_icm+rnd_seed2_alpha22,curriculum,0.625,0.125,0.25,2,0.9921875,7.66015625,histories/curriculum_icm+rnd_seed2_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha22.csv
curriculum_icm+rnd_seed2_alpha23,curriculum,0.5,0.25,0.25,2,0.99609375,8.125,histories/curriculum_icm+rnd_seed2_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha23.csv
curriculum_icm+rnd_seed2_alpha24,curriculum,0.375,0.375,0.25,2,1.0,9.546875,histories/curriculum_icm+rnd_seed2_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha24.csv
curriculum_icm+rnd_seed2_alpha25,curriculum,0.25,0.5,0.25,2,1.0,10.15625,histories/curriculum_icm+rnd_seed2_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha25.csv
curriculum_icm+rnd_seed2_alpha26,curriculum,0.125,0.625,0.25,2,0.99609375,10.28125,histories/curriculum_icm+rnd_seed2_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha26.csv
curriculum_icm+rnd_seed2_alpha27,curriculum,0.0,0.75,0.25,2,1.0,10.12109375,histories/curriculum_icm+rnd_seed2_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha27.csv
curriculum_icm+rnd_seed2_alpha28,curriculum,0.875,0.0,0.125,2,0.05859375,1.63671875,histories/curriculum_icm+rnd_seed2_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha28.csv
curriculum_icm+rnd_seed2_alpha29,curriculum,0.75,0.125,0.125,2,0.32421875,3.3984375,histories/curriculum_icm+rnd_seed2_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha29.csv
curriculum_icm+rnd_seed2_alpha30,curriculum,0.625,0.25,0.125,2,0.91796875,7.3125,histories/curriculum_icm+rnd_seed2_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha30.csv
curriculum_icm+rnd_seed2_alpha31,curriculum,0.5,0.375,0.125,2,1.0,8.44921875,histories/curriculum_icm+rnd_seed2_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha31.csv
curriculum_icm+rnd_seed2_alpha32,curriculum,0.375,0.5,0.125,2,1.0,10.1328125,histories/curriculum_icm+rnd_seed2_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha32.csv
curriculum_icm+rnd_seed2_alpha33,curriculum,0.25,0.625,0.125,2,1.0,10.28515625,histories/curriculum_icm+rnd_seed2_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha33.csv
curriculum_icm+rnd_seed2_alpha34,curriculum,0.125,0.75,0.125,2,0.99609375,10.3359375,histories/curriculum_icm+rnd_seed2_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha34.csv
curriculum_icm+rnd_seed2_alpha35,curriculum,0.0,0.875,0.125,2,0.99609375,10.01953125,histories/curriculum_icm+rnd_seed2_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha35.csv
curriculum_icm+rnd_seed3_alpha0,curriculum,0.0,0.0,1.0,3,0.01953125,3.15234375,histories/curriculum_icm+rnd_seed3_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha0.csv
curriculum_icm+rnd_seed3_alpha1,curriculum,0.125,0.0,0.875,3,0.08984375,4.22265625,histories/curriculum_icm+rnd_seed3_alpha1.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha1.csv
curriculum_icm+rnd_seed3_alpha2,curriculum,0.0,0.125,0.875,3,0.01953125,3.44921875,histories/curriculum_icm+rnd_seed3_alpha2.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha2.csv
curriculum_icm+rnd_seed3_alpha3,curriculum,0.25,0.0,0.75,3,0.1953125,5.23046875,histories/curriculum_icm+rnd_seed3_alpha3.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha3.csv
curriculum_icm+rnd_seed3_alpha4,curriculum,0.125,0.125,0.75,3,0.21875,6.00390625,histories/curriculum_icm+rnd_seed3_alpha4.csv,alpha_histories/curriculum_icm+rnd_seed3_alpha4.csv
