run_id,run_type,icm_weight,rnd_weight,extrinsic_weight,seed,final_performance,final_achievements,history_file,alpha_history_file
curriculum_icm+rnd_seed1_alpha21,curriculum,0.75,0.0,0.25,1,1.0,7.01953125,histories/curriculum_icm+rnd_seed1_alpha21.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha21.csv
curriculum_icm+rnd_seed1_alpha22,curriculum,0.625,0.125,0.25,1,0.9921875,7.09765625,histories/curriculum_icm+rnd_seed1_alpha22.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha22.csv
curriculum_icm+rnd_seed1_alpha23,curriculum,0.5,0.25,0.25,1,1.09375,7.9375,histories/curriculum_icm+rnd_seed1_alpha23.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha23.csv
curriculum_icm+rnd_seed1_alpha24,curriculum,0.375,0.375,0.25,1,1.94921875,12.55078125,histories/curriculum_icm+rnd_seed1_alpha24.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha24.csv
curriculum_icm+rnd_seed1_alpha25,curriculum,0.25,0.5,0.25,1,1.95703125,15.19140625,histories/curriculum_icm+rnd_seed1_alpha25.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha25.csv
curriculum_icm+rnd_seed1_alpha26,curriculum,0.125,0.625,0.25,1,1.8046875,15.625,histories/curriculum_icm+rnd_seed1_alpha26.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha26.csv
curriculum_icm+rnd_seed1_alpha27,curriculum,0.0,0.75,0.25,1,1.671875,14.87109375,histories/curriculum_icm+rnd_seed1_alpha27.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha27.csv
curriculum_icm+rnd_seed1_alpha28,curriculum,0.875,0.0,0.125,1,0.984375,6.875,histories/curriculum_icm+rnd_seed1_alpha28.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha28.csv
curriculum_icm+rnd_seed1_alpha29,curriculum,0.75,0.125,0.125,1,0.98828125,6.91015625,histories/curriculum_icm+rnd_seed1_alpha29.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha29.csv
curriculum_icm+rnd_seed1_alpha30,curriculum,0.625,0.25,0.125,1,0.99609375,7.19921875,histories/curriculum_icm+rnd_seed1_alpha30.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha30.csv
curriculum_icm+rnd_seed1_alpha31,curriculum,0.5,0.375,0.125,1,1.00390625,7.77734375,histories/curriculum_icm+rnd_seed1_alpha31.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha31.csv
curriculum_icm+rnd_seed1_alpha32,curriculum,0.375,0.5,0.125,1,1.20703125,11.98828125,histories/curriculum_icm+rnd_seed1_alpha32.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha32.csv
curriculum_icm+rnd_seed1_alpha33,curriculum,0.25,0.625,0.125,1,1.33203125,13.71484375,histories/curriculum_icm+rnd_seed1_alpha33.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha33.csv
curriculum_icm+rnd_seed1_alpha34,curriculum,0.125,0.75,0.125,1,1.27734375,13.796875,histories/curriculum_icm+rnd_seed1_alpha34.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha34.csv
curriculum_icm+rnd_seed1_alpha35,curriculum,0.0,0.875,0.125,1,1.24609375,13.28125,histories/curriculum_icm+rnd_seed1_alpha35.csv,alpha_histories/curriculum_icm+rnd_seed1_alpha35.csv
curriculum_icm+rnd_seed2_alpha0,curriculum,0.0,0.0,1.0,2,1.97265625,11.234375,histories/curriculum_icm+rnd_seed2_alpha0.csv,alpha_histories/curriculum_icm+rnd_seed2_alpha0.csv
